ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,1,"3,930,642","1,251,191","7,768.76",lunes,01/27/2020 02:15:00 PM,24
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,1,"103,897","36,304",227.04,miércoles,01/22/2020 07:15:00 PM,24
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,1,"22,864","9,277",88.96,jueves,01/30/2020 07:30:00 PM,10.19
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,"5,617","1,381",53.66,jueves,01/23/2020 07:45:00 PM,4.13
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,"2,217",539,39.07,miércoles,01/29/2020 07:45:00 PM,3.17
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,"64,137","28,058",324.19,jueves,01/23/2020 09:45:00 PM,8.11
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,"982,117","337,077","1,671.09",viernes,01/03/2020 07:30:00 PM,24
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,"16,666,323","4,824,581","28,619.27",viernes,01/03/2020 03:45:00 PM,24
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,"16,797","8,887",135.85,sábado,01/04/2020 03:30:00 PM,5.26
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,"10,188","4,396",31.44,sábado,01/04/2020 09:45:00 PM,14.6
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,"13,187","4,523",50.18,sábado,01/11/2020 10:15:00 PM,12.23
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,1,"15,966","7,544",87.13,sábado,01/25/2020 06:45:00 PM,8.6
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,1,"12,554","6,147",39.26,viernes,01/03/2020 07:30:00 PM,18.26
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,1,"13,100","7,330",107.65,jueves,01/30/2020 07:00:00 PM,5.56
19,CAUCA,19418,LÓPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020,1,"2,090",537,45.25,sábado,01/04/2020 06:45:00 PM,1.47
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020,1,"2,545",788,26.94,viernes,01/10/2020 06:45:00 PM,3.54
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020,1,"4,271","2,127",32,viernes,01/31/2020 08:45:00 PM,5.56
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020,1,"6,552","1,861",60.74,lunes,01/27/2020 07:15:00 PM,4.39
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020,1,"5,843","2,375",57.31,martes,01/21/2020 07:15:00 PM,5.2
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACÓN (TIMBIQUÍ - CAUCA),2020,1,"3,530",625,30.06,miércoles,01/15/2020 06:45:00 PM,5.3
19,CAUCA,19809,TIMBIQUÍ,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020,1,"2,093",617,39.23,domingo,01/19/2020 07:30:00 PM,2.5
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,1,"5,137","3,129",34.04,sábado,01/18/2020 07:45:00 PM,5.46
19,CAUCA,19809,TIMBIQUÍ,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020,1,"9,464",736,51.77,miércoles,01/29/2020 07:45:00 PM,6.5
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020,1,"30,165","10,630",168.08,domingo,01/19/2020 07:15:00 PM,7.5
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020,1,"6,346","3,461",45.53,sábado,01/25/2020 08:30:00 PM,5.46
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020,1,"12,368","4,382",75.2,martes,01/28/2020 07:30:00 PM,6.36
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2020,1,"2,410",671,24.31,martes,01/28/2020 07:30:00 PM,4.1
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2020,1,"418,615","191,068",941.6,viernes,01/17/2020 08:45:00 PM,19.23
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2020,1,"296,137","107,670",833.89,viernes,01/03/2020 06:30:00 PM,18.23
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2020,1,"32,654","8,739",143.18,martes,01/21/2020 07:15:00 PM,12.54
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2020,1,"611,938","224,941","1,191.96",viernes,01/17/2020 08:15:00 PM,23.56
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2020,1,"150,660","70,006",312.05,viernes,01/31/2020 07:15:00 PM,23.52
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2020,1,"57,963","25,684",152.14,sábado,01/04/2020 07:15:00 PM,20.58
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020,1,"186,716","83,630",533.81,viernes,01/17/2020 07:30:00 PM,20.54
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,"79,288","28,402",242.36,sábado,01/18/2020 07:45:00 PM,14.56
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,"13,519","5,124",83.2,domingo,01/19/2020 07:15:00 PM,7.42
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2020,1,"4,355","1,136",45.6,viernes,01/31/2020 08:45:00 PM,3.35
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2020,1,"70,549","36,589",186.25,lunes,01/27/2020 07:45:00 PM,17.12
